old_slug,new_slug
naveen-site,naveen-official
naveen-web,naveen-profile
naveen-online,naveen-real
naveen-now,naveen-hq
naveen-connect,naveen-org
naveen-hub,naveen-net
two-profile,two-official
naveen-jaiswal-profile,naveen-jaiswal-official
frank-profile,frank-official
piotr-kulpinski-hq,piotr-kulpinski-official
piotr-kulpinski-org,piotr-kulpinski-profile
piotr-kulpinski-net,piotr-kulpinski-real
howard-shaw-profile,howard-shaw-official
scofield-profile,scofield-official
ray-c-profile,ray-c-official
alex-profile,alex-official
harry-p-profile,harry-p-official
gleb-s-profile,gleb-s-official
david-real,david-official
anton-profile,anton-official
james-profile,james-official
david-hq,david-profile
dan-profile,dan-official
bertan-k-profile,bertan-k-official
tom-profile,tom-official
garrett-eaglin-profile,garrett-eaglin-official
zest-profile,zest-official
