Project	Tagline	Enhanced Description	Founder(s)	Official Email
SudoDocs	Analyzes code and documentation for product teams	"Automated technical writer that ingests your code base, issue tracker and existing documentation to generate accurate feature docs and change logs. It scans source code to highlight areas needing
updates and supports crossâ€‘language docs so product teams can keep manuals current and consistent."	Saurabh Sugandh	support@sudodocs.com
GuruTrans	Translate 100+ languages with contextâ€‘aware AI instantly	"Language translation platform that uses contextâ€‘aware artificial intelligence to translate emails, contracts, product pages and chats across more than 100 languages. It captures idioms, tone and
nuance while ensuring data privacy so teams can communicate accurately across cultures."	Jason Chen	support@gurutrans.app
PageFinder	AIâ€‘powered document searchâ€”find exact pages and content	"Document search engine that indexes at the page level. Users can upload PDFs, DOCX, PPT, and image files; the system performs multimodal search to locate exact pages or paragraphs. It also builds
shareable binders of relevant pages, making research and knowledge management easy."	Mike Nam	support@auriq.com
CoreProse	Generate 3,000â€‘word SEO articles with verified sources quickly	"Longâ€‘form content generator that uses autonomous AI agents and hybrid search to write 3,000â€‘word SEO articles. It cites five to ten verified sources, maintains a consistent voice, and can publish
directly to WordPress or Notion. The tool aims to democratize quality content creation by automating research and writing."	Olivier Delafosse	contact@coreprose.com
The Prompt Fixer	Transform any AI query into an expertâ€‘level prompt	"AI promptâ€‘engineering assistant that restructures user questions into wellâ€‘formed prompts optimized for different largeâ€‘language models. It democratizes prompt engineering by providing templates,
multiâ€‘model awareness and context expansion so both novices and experts can get better results from AI systems."	Garrett Eaglin	support@thepromptfixer.com
RezFix	Tailor your resume for any job in seconds with AI	"Job application platform that uses AI to tailor resumes and cover letters to match specific job descriptions. It optimizes content for applicantâ€‘tracking systems, offers recruiterâ€‘approved templates
and provides interview preparation guidanceâ€”helping job seekers stand out quickly and securely."	Garrett Eaglin	support@rezfix.app
Video Summarizer	Get concise summaries, mind maps, timelines, and Q&A from videos	"Video summarization tool that turns long videos into concise written summaries. The AI produces a summary, mindâ€‘map, timeline and Q&A in the userâ€™s language, enabling learners to grasp the key points
of lectures or presentations without watching the full recording."	Klym Zhuravlovâ€‘Iuzefovych	contact@videosummarizerai.com
ReadDocs	AIâ€‘powered summaries, key points, and answers for documents	"Documentâ€‘analysis service that accepts PDF, Word and transcript files, applies OCR when needed and returns a clean summary with bulletâ€‘point key takeaways and instant answers to user questions. It is
designed for students, professionals and researchers who need to digest long documents quickly."	Muhammed Valli	info@readdocs.co.uk
IdeaProof	AI startup idea validator for founders	"Webâ€‘based tool that evaluates a startup idea across more than fifty criteria using realâ€‘time market data. It produces a viability score, risk assessment, marketâ€‘size estimation and competitor overview
to help founders refine their concepts. Currently there is no publicly named founder."	Not publicly listed	Not publicly listed
Vonvo	Practice cold calls with AI prospects for instant feedback	"Salesâ€‘training platform where users can practice cold calls against AIâ€‘generated prospects. The system provides instant feedback on tone, pitch and objection handling so sales teams can improve their
skills before approaching real prospects."	Not publicly listed	hello@vonvo.ai
Aymo AI	Unified AI workspace that brings the best large language models together so you can write, analyze, and build faster	"Allâ€‘inâ€‘one AI platform that provides access to multiple largeâ€‘language models (GPTâ€‘5, Claude, Gemini, Grok, DeepSeek and more) through a single interface. It supports team collaboration, preset
prompts, code explanation, file analysis and a bringâ€‘yourâ€‘ownâ€‘key option, enabling developers and writers to work faster across tasks."	Musharof Chowdhury	support@aymo.ai
Skene	Fully automated PLG iteration engine that helps products grow without growth teams	"Productâ€‘led growth engine that automatically runs experiments, analyzes user behavior and iterates on product experience to drive growth. It helps software products grow without dedicated growth teams
by automating A/B testing, messaging and onboarding flows."	Teemu Kinos; Michele Boggia; Teppo Hudsson	dpo@skene.ai
